title,similarity_score
NOVEL_MT_30,0.40930232558139534
NOVEL_MT_34,0.16923076923076924
NOVEL_MT_36,0.2875
NOVEL_MT_51,0.6761363636363636
NOVEL_MT_58,0.27450980392156865
NOVEL_MT_69,0.4090909090909091
NOVEL_MT_72,0.3469387755102041
NOVEL_MT_73,0.3417085427135678
NOVEL_MT_80,0.33613445378151263
NOVEL_MT_94,0.2777777777777778
NOVEL_MT_102,0.36
NOVEL_MT_103,0.4
NOVEL_MT_119,0.38461538461538464
NOVEL_MT_123,0.14705882352941177
NOVEL_MT_126,0.46540880503144655
NOVEL_MT_138,0.38333333333333336
NOVEL_MT_143,0.47692307692307695
NOVEL_MT_157,0.33613445378151263
NOVEL_MT_158,0.3120567375886525
NOVEL_MT_162,0.18285714285714286
NOVEL_MT_169,0.45045045045045046
NOVEL_MT_173,0.2676056338028169
NOVEL_MT_195,0.31746031746031744
NOVEL_MT_206,0.5416666666666666
NOVEL_MT_222,0.3076923076923077
NOVEL_MT_225,0.19047619047619047
NOVEL_MT_239,0.19889502762430938
NOVEL_MT_241,0.2127659574468085
NOVEL_MT_272,0.3434343434343434
NOVEL_MT_276,0.23841059602649006
NOVEL_MT_279,0.23376623376623376
NOVEL_MT_299,0.20253164556962025
SKG_MT_39,0.3522012578616352
SKG_MT_49,0.5043478260869565
SKG_MT_72,0.375
SKG_MT_110,0.4264705882352941
SKG_MT_139,0.6181818181818182
SKG_MT_206,0.39097744360902253
SKG_MT_524,0.5555555555555556
SKG_MT_785,0.0
SKG_MT_884,0.2809917355371901
SKG_MT_1279,0.5609756097560976
SKG_MT_1340,0.38016528925619836
SKG_MT_1363,0.33532934131736525
SKG_PAR_10,0.0
SKG_PAR_11,0.5535714285714286
SKG_PAR_119,0.6013986013986014
SKG_PAR_158,0.0
SKG_PAR_178,0.675
